[159, 256.48, 1, [52.601989, 39.599918], [52.6020418, 39.6036805]],
[160, 253.05599999999998, 1, [52.601989, 39.599918], [52.6021299, 39.6036579]],
[161, 21.132, 1, [52.616687, 39.597736], [52.6168769, 39.5977482]],
[162, 50.451, 1, [52.61668, 39.597324], [52.616252, 39.597572]],
[163, 28.445, 1, [52.61668, 39.597324], [52.616687, 39.597736]],
[164, 45.684, 1, [52.6170866, 39.5972294], [52.61668, 39.597324]],
[165, 24.337, 1, [52.6171518, 39.597686], [52.6173683, 39.5976331]],
[166, 43.583, 1, [52.6171518, 39.597686], [52.6170866, 39.5972294]],
[167, 25.583, 1, [52.6173683, 39.5976331], [52.6173827, 39.5980113]],
[168, 17.560000000000002, 1, [52.6173683, 39.5976331], [52.6174672, 39.5974323]],
[169, 11.467, 1, [52.616252, 39.597572], [52.6161492, 39.5975855]],
[170, 49.621, 1, [52.616252, 39.597572], [52.616687, 39.597736]],
[171, 35.199, 1, [52.6127643, 39.5979573], [52.6124485, 39.5979227]],
[172, 346.17600000000004, 1, [52.6127643, 39.5979573], [52.6158707, 39.5976187]],
[173, 35.865, 1, [52.6177624, 39.6074418], [52.6177758, 39.6079726]],
[174, 48.607, 1, [52.6177624, 39.6074418], [52.6174061, 39.6077648]],
[175, 28.968, 1, [52.6428959, 39.6863833], [52.6427533, 39.686024]],
[176, 52.793, 1, [52.6428959, 39.6863833], [52.6431386, 39.6870558]],
[177, 14.249, 1, [52.6474637, 39.6895116], [52.6475824, 39.6895912]],
[178, 454.058, 1, [52.6474637, 39.6895116], [52.643665, 39.6870496]],
[179, 445.85900000000004, 1, [52.6474637, 39.6895116], [52.6446588, 39.692427]],
[180, 208.183, 1, [52.5838796, 39.5436484], [52.5823139, 39.5453375]],
[181, 175.137, 1, [52.5838796, 39.5436484], [52.5848458, 39.5456956]],
[182, 198.64399999999998, 1, [52.5838796, 39.5436484], [52.5826745, 39.5414808]],
[183, 545.066, 1, [52.5436007, 39.757673], [52.5462928, 39.7509371]],
[184, 619.95, 1, [52.5436007, 39.757673], [52.5405113, 39.7653039]],
[185, 53.151, 1, [52.5594154, 39.7269591], [52.5596539, 39.7262777]],
[186, 36.051, 1, [52.5594154, 39.7269591], [52.5591481, 39.7266573]],
[187, 113.48499999999999, 1, [52.5594154, 39.7269591], [52.5589043, 39.7284119]],
[188, 582.519, 1, [52.5594154, 39.7269591], [52.5633268, 39.7322562]],
[189, 19.465, 1, [52.6041416, 39.6024359], [52.6041013, 39.6027164]],
[190, 328.203, 1, [52.6041416, 39.6024359], [52.6049908, 39.5977831]],
[191, 62.75, 1, [52.6121804, 39.5983882], [52.6125561, 39.5990694]],
[192, 26.136, 1, [52.6121804, 39.5983882], [52.6123856, 39.5982479]],
[193, 135.103, 1, [52.5792988, 39.5364425], [52.578718, 39.5346894]],
[194, 506.73900000000003, 1, [52.5792988, 39.5364425], [52.5826745, 39.5414808]],
[195, 70.835, 1, [52.5781578, 39.5356217], [52.5787415, 39.5360416]],
[196, 105.008, 1, [52.5781578, 39.5356217], [52.578718, 39.5346894]],
[197, 20.4, 1, [52.5779851, 39.5355198], [52.5781578, 39.5356217]],
[198, 188.716, 1, [52.5775319, 39.5345918], [52.5764499, 39.5365657]],
[199, 84.208, 1, [52.5775319, 39.5345918], [52.5779851, 39.5355198]],
[200, 124.417, 1, [52.5780706, 39.5337612], [52.5770256, 39.5331352]],
[201, 90.765, 1, [52.5780706, 39.5337612], [52.5775319, 39.5345918]],
[202, 506.739, 1, [52.5826745, 39.5414808], [52.5792988, 39.5364425]],
[203, 654.0929999999998, 1, [52.5826745, 39.5414808], [52.5866168, 39.5342965]],
[204, 198.64399999999998, 1, [52.5826745, 39.5414808], [52.5838796, 39.5436484]],
[205, 13.605, 1, [52.6224407, 39.5565322], [52.6223192, 39.556556]],
[206, 694.19, 1, [52.6224407, 39.5565322], [52.6189976, 39.548123]],
[207, 628.5939999999998, 1, [52.5937696, 39.5197572], [52.5902216, 39.5270012]],
[208, 60.587999999999994, 1, [52.5937696, 39.5197572], [52.5942141, 39.5192652]],
[209, 142.643, 1, [52.5930857, 39.5173591], [52.593932, 39.5188972]],
[210, 80.815, 1, [52.5930857, 39.5173591], [52.5925506, 39.5165495]],
[211, 127.16499999999999, 1, [52.630817, 39.573287], [52.630638, 39.571426]],
[212, 302.325, 1, [52.630817, 39.573287], [52.6281441, 39.5737283]],
[213, 343.44999999999993, 1, [52.630817, 39.573287], [52.6320683, 39.5751047]],
[214, 76.124, 1, [52.630817, 39.573287], [52.6310276, 39.574337]],
[215, 378.506, 1, [52.6281207, 39.5562283], [52.6296199, 39.5612632]],
[216, 70.632, 1, [52.6281207, 39.5562283], [52.6276825, 39.5569859]],
[217, 966.6519999999999, 1, [52.6281207, 39.5562283], [52.6336445, 39.5460084]],
[218, 127.16499999999999, 1, [52.630638, 39.571426], [52.630817, 39.573287]],
[219, 148.696, 1, [52.630638, 39.571426], [52.6302099, 39.5693456]],
[220, 306.383, 1, [52.630638, 39.571426], [52.6279921, 39.5726928]],
[221, 489.103, 1, [52.6291224, 39.5366936], [52.6317051, 39.5425578]],
[222, 457.31600000000003, 1, [52.6291224, 39.5366936], [52.6255818, 39.5401276]],
[223, 310.402, 1, [52.6284496, 39.5671202], [52.6272825, 39.5630152]],
[224, 95.925, 1, [52.6284496, 39.5671202], [52.6291174, 39.567904]],
[225, 93.84100000000001, 1, [52.6284496, 39.5671202], [52.6277173, 39.5678083]],
[226, 72.086, 1, [52.6284496, 39.5671202], [52.6289807, 39.5665584]],
[227, 317.98300000000006, 1, [52.6317051, 39.5425578], [52.6336445, 39.5460084]],
[228, 489.103, 1, [52.6317051, 39.5425578], [52.6291224, 39.5366936]],
[229, 328.525, 1, [52.6317051, 39.5425578], [52.6342986, 39.5402272]],
[230, 317.98300000000006, 1, [52.6336445, 39.5460084], [52.6317051, 39.5425578]],
[231, 966.6519999999998, 1, [52.6336445, 39.5460084], [52.6281207, 39.5562283]],
[232, 283.03200000000004, 1, [52.6336445, 39.5460084], [52.6351326, 39.5494004]],
[233, 158.273, 1, [52.6179393, 39.5236825], [52.6177508, 39.5260063]],
[234, 1160.7870000000003, 1, [52.6179393, 39.5236825], [52.6096354, 39.5298015]],
[235, 5162.291000000001, 1, [52.6179393, 39.5236825], [52.6228098, 39.4666756]],
[236, 427.05100000000004, 1, [52.6174512, 39.5375948], [52.6137712, 39.5378296]],
[237, 729.1070000000001, 1, [52.6174512, 39.5375948], [52.6195446, 39.547315]],
[238, 785.329, 1, [52.6174512, 39.5375948], [52.6177508, 39.5260063]],
[239, 729.107, 1, [52.6195446, 39.547315], [52.6174512, 39.5375948]],
[240, 81.775, 1, [52.6195446, 39.547315], [52.6189976, 39.548123]],
[241, 833.433, 1, [52.6195446, 39.547315], [52.6255818, 39.5401276]],
[242, 24.639000000000003, 1, [52.5988085, 39.5086973], [52.5988091, 39.5083327]],
[243, 51.003, 1, [52.5990278, 39.5096827], [52.5987306, 39.5091075]],
[244, 71.178, 1, [52.5990278, 39.5096827], [52.5988085, 39.5086973]],
[245, 53.42, 1, [52.6094115, 39.5293378], [52.6090978, 39.5287386]],
[246, 42.465, 1, [52.6094115, 39.5293378], [52.6090549, 39.5294465]],
[247, 32.65, 1, [52.6090978, 39.5287386], [52.6090261, 39.5282697]],
[248, 437.558, 1, [52.6090978, 39.5287386], [52.6065287, 39.5238303]],
[249, 63.775, 1, [52.6060368, 39.5320639], [52.6054853, 39.5322429]],
[250, 115.882, 1, [52.6093197, 39.5301714], [52.6102024, 39.5310101]],
[251, 46.157000000000004, 1, [52.6093197, 39.5301714], [52.6096354, 39.5298015]],
[252, 103.12799999999999, 1, [52.6102024, 39.5310101], [52.6096354, 39.5298015]],
[253, 608.1039999999999, 1, [52.6102024, 39.5310101], [52.6137712, 39.5378296]],
[254, 101.63900000000001, 1, [52.6053198, 39.5332401], [52.606071, 39.532459]],
[255, 70.056, 1, [52.6053198, 39.5332401], [52.6054853, 39.5322429]],
[256, 206.406, 1, [52.6053198, 39.5332401], [52.6048693, 39.536205]],
[257, 32.563, 1, [52.606071, 39.532459], [52.6060368, 39.5320639]],
[258, 388.49299999999994, 1, [52.606071, 39.532459], [52.6092786, 39.5301801]],
[259, 145.10500000000002, 1, [52.6041236, 39.5388536], [52.6049527, 39.5405121]],
[260, 65.955, 1, [52.6041236, 39.5388536], [52.6045851, 39.5386827]],
[261, 41.86, 1, [52.6036014, 39.5382763], [52.6039459, 39.538502]],
[262, 59.611, 1, [52.6045851, 39.5386827], [52.6046273, 39.5378027]],
[263, 33.676, 1, [52.604513, 39.5370689], [52.604286, 39.537399]],
[264, 42.848, 1, [52.604286, 39.537399], [52.6039829, 39.5377905]],
[265, 206.40599999999998, 1, [52.6048693, 39.536205], [52.6053198, 39.5332401]],
[266, 70.878, 1, [52.6048693, 39.536205], [52.604513, 39.5370689]],
[267, 40.143, 1, [52.6046273, 39.5378027], [52.6047191, 39.5372278]],
[268, 53.696, 1, [52.6046273, 39.5378027], [52.604286, 39.537399]],
